n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
100000,Binaria,Inicio,15,200,16
100000,Lineal,Inicio,16,100,1
100000,Binaria,Inicio,16,100,16
100000,Lineal,Inicio,17,100,1
100000,Binaria,Inicio,17,200,16
100000,Lineal,Inicio,18,100,1
100000,Binaria,Inicio,18,200,16
100000,Lineal,Inicio,19,100,1
100000,Binaria,Inicio,19,200,16
100000,Lineal,Inicio,20,100,1
100000,Binaria,Inicio,20,200,16
100000,Lineal,Inicio,21,0,1
100000,Binaria,Inicio,21,100,16
100000,Lineal,Inicio,22,0,1
100000,Binaria,Inicio,22,200,16
100000,Lineal,Inicio,23,100,1
100000,Binaria,Inicio,23,200,16
100000,Lineal,Inicio,24,0,1
100000,Binaria,Inicio,24,200,16
100000,Lineal,Inicio,25,0,1
100000,Binaria,Inicio,25,200,16
100000,Lineal,Inicio,26,0,1
100000,Binaria,Inicio,26,200,16
100000,Lineal,Inicio,27,0,1
100000,Binaria,Inicio,27,200,16
100000,Lineal,Inicio,28,100,1
100000,Binaria,Inicio,28,100,16
100000,Lineal,Inicio,29,0,1
100000,Binaria,Inicio,29,100,16
100000,Lineal,Inicio,30,100,1
100000,Binaria,Inicio,30,200,16
100000,Lineal,Centro,1,164300,50001
100000,Binaria,Centro,1,300,16
100000,Lineal,Centro,2,173500,50001
100000,Binaria,Centro,2,200,16
100000,Lineal,Centro,3,273900,50001
100000,Binaria,Centro,3,400,16
100000,Lineal,Centro,4,387100,50001
100000,Binaria,Centro,4,500,16
100000,Lineal,Centro,5,357100,50001
100000,Binaria,Centro,5,400,16
100000,Lineal,Centro,6,201600,50001
100000,Binaria,Centro,6,400,16
100000,Lineal,Centro,7,285000,50001
100000,Binaria,Centro,7,600,16
100000,Lineal,Centro,8,347200,50001
100000,Binaria,Centro,8,300,16
100000,Lineal,Centro,9,174900,50001
100000,Binaria,Centro,9,300,16
100000,Lineal,Centro,10,195500,50001
100000,Binaria,Centro,10,200,16
100000,Lineal,Centro,11,234900,50001
100000,Binaria,Centro,11,300,16
100000,Lineal,Centro,12,606600,50001
100000,Binaria,Centro,12,600,16
100000,Lineal,Centro,13,496800,50001
100000,Binaria,Centro,13,500,16
100000,Lineal,Centro,14,358600,50001
100000,Binaria,Centro,14,500,16
100000,Lineal,Centro,15,421900,50001
100000,Binaria,Centro,15,800,16
100000,Lineal,Centro,16,421900,50001
100000,Binaria,Centro,16,500,16
100000,Lineal,Centro,17,368400,50001
100000,Binaria,Centro,17,600,16
100000,Lineal,Centro,18,378400,50001
100000,Binaria,Centro,18,500,16
100000,Lineal,Centro,19,363600,50001
100000,Binaria,Centro,19,600,16
100000,Lineal,Centro,20,367100,50001
100000,Binaria,Centro,20,400,16
100000,Lineal,Centro,21,367600,50001
100000,Binaria,Centro,21,400,16
100000,Lineal,Centro,22,365100,50001
100000,Binaria,Centro,22,500,16
100000,Lineal,Centro,23,344500,50001
100000,Binaria,Centro,23,200,16
100000,Lineal,Centro,24,176300,50001
100000,Binaria,Centro,24,100,16
100000,Lineal,Centro,25,194000,50001
100000,Binaria,Centro,25,700,16
100000,Lineal,Centro,26,258400,50001
100000,Binaria,Centro,26,600,16
100000,Lineal,Centro,27,172700,50001
100000,Binaria,Centro,27,400,16
100000,Lineal,Centro,28,172200,50001
100000,Binaria,Centro,28,200,16
100000,Lineal,Centro,29,174800,50001
100000,Binaria,Centro,29,200,16
100000,Lineal,Centro,30,187200,50001
100000,Binaria,Centro,30,200,16
100000,Lineal,Final,1,378400,100000
100000,Binaria,Final,1,400,17
100000,Lineal,Final,2,662800,100000
100000,Binaria,Final,2,300,17
100000,Lineal,Final,3,615500,100000
100000,Binaria,Final,3,500,17
100000,Lineal,Final,4,425200,100000
100000,Binaria,Final,4,200,17
100000,Lineal,Final,5,350700,100000
100000,Binaria,Final,5,200,17
100000,Lineal,Final,6,349800,100000
100000,Binaria,Final,6,200,17
100000,Lineal,Final,7,368000,100000
100000,Binaria,Final,7,200,17
100000,Lineal,Final,8,355400,100000
100000,Binaria,Final,8,300,17
100000,Lineal,Final,9,350100,100000
100000,Binaria,Final,9,200,17
100000,Lineal,Final,10,334700,100000
100000,Binaria,Final,10,400,17
100000,Lineal,Final,11,752400,100000
100000,Binaria,Final,11,400,17
100000,Lineal,Final,12,726300,100000
100000,Binaria,Final,12,300,17
100000,Lineal,Final,13,542600,100000
100000,Binaria,Final,13,200,17
100000,Lineal,Final,14,352600,100000
100000,Binaria,Final,14,200,17
100000,Lineal,Final,15,362200,100000
100000,Binaria,Final,15,200,17
100000,Lineal,Final,16,394700,100000
100000,Binaria,Final,16,200,17
100000,Lineal,Final,17,354500,100000
100000,Binaria,Final,17,100,17
100000,Lineal,Final,18,659200,100000
100000,Binaria,Final,18,500,17
100000,Lineal,Final,19,583400,100000
100000,Binaria,Final,19,200,17
100000,Lineal,Final,20,351100,100000
100000,Binaria,Final,20,200,17
100000,Lineal,Final,21,347200,100000
100000,Binaria,Final,21,100,17
100000,Lineal,Final,22,429900,100000
100000,Binaria,Final,22,400,17
100000,Lineal,Final,23,357200,100000
100000,Binaria,Final,23,200,17
100000,Lineal,Final,24,368600,100000
100000,Binaria,Final,24,200,17
100000,Lineal,Final,25,351500,100000
100000,Binaria,Final,25,200,17
100000,Lineal,Final,26,500000,100000
100000,Binaria,Final,26,400,17
100000,Lineal,Final,27,494800,100000
100000,Binaria,Final,27,200,17
100000,Lineal,Final,28,386300,100000
100000,Binaria,Final,28,700,17
100000,Lineal,Final,29,350100,100000
100000,Binaria,Final,29,200,17
100000,Lineal,Final,30,349400,100000
100000,Binaria,Final,30,200,17
100000,Lineal,Ausente,1,351500,100000
100000,Binaria,Ausente,1,200,16
100000,Lineal,Ausente,2,385000,100000
100000,Binaria,Ausente,2,300,16
100000,Lineal,Ausente,3,398400,100000
100000,Binaria,Ausente,3,300,16
100000,Lineal,Ausente,4,470600,100000
100000,Binaria,Ausente,4,400,16
100000,Lineal,Ausente,5,573800,100000
100000,Binaria,Ausente,5,300,16
100000,Lineal,Ausente,6,375000,100000
100000,Binaria,Ausente,6,200,16
100000,Lineal,Ausente,7,354100,100000
100000,Binaria,Ausente,7,300,16
100000,Lineal,Ausente,8,348300,100000
100000,Binaria,Ausente,8,200,16
100000,Lineal,Ausente,9,350400,100000
100000,Binaria,Ausente,9,200,16
100000,Lineal,Ausente,10,352600,100000
100000,Binaria,Ausente,10,200,16
100000,Lineal,Ausente,11,353800,100000
100000,Binaria,Ausente,11,200,16
100000,Lineal,Ausente,12,351800,100000
100000,Binaria,Ausente,12,300,16
100000,Lineal,Ausente,13,354800,100000
100000,Binaria,Ausente,13,200,16
100000,Lineal,Ausente,14,344100,100000
100000,Binaria,Ausente,14,200,16
100000,Lineal,Ausente,15,345100,100000
100000,Binaria,Ausente,15,100,16
100000,Lineal,Ausente,16,350100,100000
100000,Binaria,Ausente,16,200,16
100000,Lineal,Ausente,17,357600,100000
100000,Binaria,Ausente,17,400,16
100000,Lineal,Ausente,18,362200,100000
100000,Binaria,Ausente,18,400,16
100000,Lineal,Ausente,19,353900,100000
100000,Binaria,Ausente,19,100,16
100000,Lineal,Ausente,20,361300,100000
100000,Binaria,Ausente,20,400,16
100000,Lineal,Ausente,21,365600,100000
100000,Binaria,Ausente,21,200,16
100000,Lineal,Ausente,22,359800,100000
100000,Binaria,Ausente,22,200,16
100000,Lineal,Ausente,23,366500,100000
100000,Binaria,Ausente,23,300,16
100000,Lineal,Ausente,24,380700,100000
100000,Binaria,Ausente,24,100,16
100000,Lineal,Ausente,25,348100,100000
100000,Binaria,Ausente,25,200,16
100000,Lineal,Ausente,26,349400,100000
100000,Binaria,Ausente,26,200,16
100000,Lineal,Ausente,27,363900,100000
100000,Binaria,Ausente,27,200,16
100000,Lineal,Ausente,28,349200,100000
100000,Binaria,Ausente,28,100,16
100000,Lineal,Ausente,29,358700,100000
100000,Binaria,Ausente,29,200,16
100000,Lineal,Ausente,30,353600,100000
100000,Binaria,Ausente,30,200,16
500000,Lineal,Inicio,1,900,1
500000,Binaria,Inicio,1,800,18
500000,Lineal,Inicio,2,200,1
500000,Binaria,Inicio,2,200,18
500000,Lineal,Inicio,3,0,1
500000,Binaria,Inicio,3,100,18
500000,Lineal,Inicio,4,0,1
500000,Binaria,Inicio,4,200,18
500000,Lineal,Inicio,5,0,1
500000,Binaria,Inicio,5,200,18
500000,Lineal,Inicio,6,100,1
500000,Binaria,Inicio,6,100,18
500000,Lineal,Inicio,7,0,1
500000,Binaria,Inicio,7,100,18
500000,Lineal,Inicio,8,0,1
500000,Binaria,Inicio,8,200,18
500000,Lineal,Inicio,9,0,1
500000,Binaria,Inicio,9,200,18
500000,Lineal,Inicio,10,0,1
500000,Binaria,Inicio,10,100,18
500000,Lineal,Inicio,11,0,1
500000,Binaria,Inicio,11,200,18
500000,Lineal,Inicio,12,0,1
500000,Binaria,Inicio,12,200,18
500000,Lineal,Inicio,13,100,1
500000,Binaria,Inicio,13,200,18
500000,Lineal,Inicio,14,0,1
500000,Binaria,Inicio,14,200,18
500000,Lineal,Inicio,15,100,1
500000,Binaria,Inicio,15,200,18
500000,Lineal,Inicio,16,100,1
500000,Binaria,Inicio,16,200,18
500000,Lineal,Inicio,17,0,1
500000,Binaria,Inicio,17,200,18
500000,Lineal,Inicio,18,100,1
500000,Binaria,Inicio,18,100,18
500000,Lineal,Inicio,19,100,1
500000,Binaria,Inicio,19,200,18
500000,Lineal,Inicio,20,0,1
500000,Binaria,Inicio,20,200,18
500000,Lineal,Inicio,21,100,1
500000,Binaria,Inicio,21,200,18
500000,Lineal,Inicio,22,0,1
500000,Binaria,Inicio,22,200,18
500000,Lineal,Inicio,23,0,1
500000,Binaria,Inicio,23,200,18
500000,Lineal,Inicio,24,0,1
500000,Binaria,Inicio,24,200,18
500000,Lineal,Inicio,25,100,1
500000,Binaria,Inicio,25,200,18
500000,Lineal,Inicio,26,100,1
500000,Binaria,Inicio,26,100,18
500000,Lineal,Inicio,27,0,1
500000,Binaria,Inicio,27,100,18
500000,Lineal,Inicio,28,0,1
500000,Binaria,Inicio,28,200,18
500000,Lineal,Inicio,29,0,1
500000,Binaria,Inicio,29,200,18
500000,Lineal,Inicio,30,0,1
500000,Binaria,Inicio,30,200,18
500000,Lineal,Centro,1,868000,250001
500000,Binaria,Centro,1,800,18
500000,Lineal,Centro,2,1082400,250001
500000,Binaria,Centro,2,300,18
500000,Lineal,Centro,3,883700,250001
500000,Binaria,Centro,3,200,18
500000,Lineal,Centro,4,882300,250001
500000,Binaria,Centro,4,200,18
500000,Lineal,Centro,5,899200,250001
500000,Binaria,Centro,5,200,18
500000,Lineal,Centro,6,911400,250001
500000,Binaria,Centro,6,300,18
500000,Lineal,Centro,7,1184300,250001
500000,Binaria,Centro,7,200,18
500000,Lineal,Centro,8,878100,250001
500000,Binaria,Centro,8,300,18
500000,Lineal,Centro,9,861100,250001
500000,Binaria,Centro,9,200,18
500000,Lineal,Centro,10,866400,250001
500000,Binaria,Centro,10,200,18
500000,Lineal,Centro,11,879500,250001
500000,Binaria,Centro,11,300,18
500000,Lineal,Centro,12,1077000,250001
500000,Binaria,Centro,12,500,18
500000,Lineal,Centro,13,945100,250001
500000,Binaria,Centro,13,300,18
500000,Lineal,Centro,14,865800,250001
500000,Binaria,Centro,14,300,18
500000,Lineal,Centro,15,868000,250001
500000,Binaria,Centro,15,200,18
500000,Lineal,Centro,16,876600,250001
500000,Binaria,Centro,16,300,18
500000,Lineal,Centro,17,860900,250001
500000,Binaria,Centro,17,200,18
500000,Lineal,Centro,18,869800,250001
500000,Binaria,Centro,18,100,18
500000,Lineal,Centro,19,876100,250001
500000,Binaria,Centro,19,300,18
500000,Lineal,Centro,20,933800,250001
500000,Binaria,Centro,20,200,18
500000,Lineal,Centro,21,890100,250001
500000,Binaria,Centro,21,400,18
500000,Lineal,Centro,22,861100,250001
500000,Binaria,Centro,22,300,18
500000,Lineal,Centro,23,878400,250001
500000,Binaria,Centro,23,300,18
500000,Lineal,Centro,24,1097700,250001
500000,Binaria,Centro,24,300,18
500000,Lineal,Centro,25,882100,250001
500000,Binaria,Centro,25,200,18
500000,Lineal,Centro,26,882400,250001
500000,Binaria,Centro,26,200,18
500000,Lineal,Centro,27,906800,250001
500000,Binaria,Centro,27,800,18
500000,Lineal,Centro,28,873800,250001
500000,Binaria,Centro,28,300,18
500000,Lineal,Centro,29,887900,250001
500000,Binaria,Centro,29,300,18
500000,Lineal,Centro,30,870500,250001
500000,Binaria,Centro,30,300,18
500000,Lineal,Final,1,1753300,500000
500000,Binaria,Final,1,700,19
500000,Lineal,Final,2,1883200,500000
500000,Binaria,Final,2,400,19
500000,Lineal,Final,3,2222400,500000
500000,Binaria,Final,3,400,19
500000,Lineal,Final,4,1781000,500000
500000,Binaria,Final,4,300,19
500000,Lineal,Final,5,1771800,500000
500000,Binaria,Final,5,400,19
500000,Lineal,Final,6,2041200,500000
500000,Binaria,Final,6,300,19
500000,Lineal,Final,7,2045900,500000
500000,Binaria,Final,7,400,19
500000,Lineal,Final,8,2057800,500000
500000,Binaria,Final,8,300,19
500000,Lineal,Final,9,2425400,500000
500000,Binaria,Final,9,500,19
500000,Lineal,Final,10,2140100,500000
500000,Binaria,Final,10,400,19
500000,Lineal,Final,11,1931300,500000
500000,Binaria,Final,11,500,19
500000,Lineal,Final,12,1991900,500000
500000,Binaria,Final,12,200,19
500000,Lineal,Final,13,1992900,500000
500000,Binaria,Final,13,600,19
500000,Lineal,Final,14,1855200,500000
500000,Binaria,Final,14,300,19
500000,Lineal,Final,15,2698500,500000
500000,Binaria,Final,15,200,19
500000,Lineal,Final,16,2128500,500000
500000,Binaria,Final,16,900,19
500000,Lineal,Final,17,2479400,500000
500000,Binaria,Final,17,400,19
500000,Lineal,Final,18,1788900,500000
500000,Binaria,Final,18,300,19
500000,Lineal,Final,19,1808500,500000
500000,Binaria,Final,19,500,19
500000,Lineal,Final,20,2042600,500000
500000,Binaria,Final,20,200,19
500000,Lineal,Final,21,1723100,500000
500000,Binaria,Final,21,300,19
500000,Lineal,Final,22,1751500,500000
500000,Binaria,Final,22,300,19
500000,Lineal,Final,23,1885600,500000
500000,Binaria,Final,23,600,19
500000,Lineal,Final,24,3017800,500000
500000,Binaria,Final,24,700,19
500000,Lineal,Final,25,3222400,500000
500000,Binaria,Final,25,800,19
500000,Lineal,Final,26,3120700,500000
500000,Binaria,Final,26,500,19
500000,Lineal,Final,27,3404400,500000
500000,Binaria,Final,27,500,19
500000,Lineal,Final,28,2798000,500000
500000,Binaria,Final,28,700,19
500000,Lineal,Final,29,2630000,500000
500000,Binaria,Final,29,400,19
500000,Lineal,Final,30,1858300,500000
500000,Binaria,Final,30,300,19
500000,Lineal,Ausente,1,2833500,500000
500000,Binaria,Ausente,1,1000,18
500000,Lineal,Ausente,2,2121700,500000
500000,Binaria,Ausente,2,300,18
500000,Lineal,Ausente,3,1853000,500000
500000,Binaria,Ausente,3,900,18
500000,Lineal,Ausente,4,2369300,500000
500000,Binaria,Ausente,4,300,18
500000,Lineal,Ausente,5,5008100,500000
500000,Binaria,Ausente,5,1400,18
500000,Lineal,Ausente,6,9717300,500000
500000,Binaria,Ausente,6,3300,18
500000,Lineal,Ausente,7,8965100,500000
500000,Binaria,Ausente,7,2800,18
500000,Lineal,Ausente,8,7850000,500000
500000,Binaria,Ausente,8,3200,18
500000,Lineal,Ausente,9,9340500,500000
500000,Binaria,Ausente,9,4200,18
500000,Lineal,Ausente,10,4927800,500000
500000,Binaria,Ausente,10,2200,18
500000,Lineal,Ausente,11,6366800,500000
500000,Binaria,Ausente,11,2200,18
500000,Lineal,Ausente,12,5331300,500000
500000,Binaria,Ausente,12,1700,18
500000,Lineal,Ausente,13,5744100,500000
500000,Binaria,Ausente,13,1900,18
500000,Lineal,Ausente,14,4834800,500000
500000,Binaria,Ausente,14,1700,18
500000,Lineal,Ausente,15,4459500,500000
500000,Binaria,Ausente,15,1500,18
500000,Lineal,Ausente,16,2730600,500000
500000,Binaria,Ausente,16,800,18
500000,Lineal,Ausente,17,3587900,500000
500000,Binaria,Ausente,17,1300,18
500000,Lineal,Ausente,18,4160800,500000
500000,Binaria,Ausente,18,1200,18
500000,Lineal,Ausente,19,2558200,500000
500000,Binaria,Ausente,19,1100,18
500000,Lineal,Ausente,20,2007400,500000
500000,Binaria,Ausente,20,800,18
500000,Lineal,Ausente,21,2342100,500000
500000,Binaria,Ausente,21,800,18
500000,Lineal,Ausente,22,2624700,500000
500000,Binaria,Ausente,22,700,18
500000,Lineal,Ausente,23,1875900,500000
500000,Binaria,Ausente,23,400,18
500000,Lineal,Ausente,24,1956100,500000
500000,Binaria,Ausente,24,500,18
500000,Lineal,Ausente,25,1777900,500000
500000,Binaria,Ausente,25,400,18
500000,Lineal,Ausente,26,1765200,500000
500000,Binaria,Ausente,26,400,18
500000,Lineal,Ausente,27,1839000,500000
500000,Binaria,Ausente,27,600,18
500000,Lineal,Ausente,28,5593600,500000
500000,Binaria,Ausente,28,2400,18
500000,Lineal,Ausente,29,3381900,500000
500000,Binaria,Ausente,29,800,18
500000,Lineal,Ausente,30,3417500,500000
500000,Binaria,Ausente,30,900,18
