n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
100,Binaria,Final,21,100,7
100,Lineal,Final,22,400,100
100,Binaria,Final,22,0,7
100,Lineal,Final,23,500,100
100,Binaria,Final,23,100,7
100,Lineal,Final,24,500,100
100,Binaria,Final,24,100,7
100,Lineal,Final,25,400,100
100,Binaria,Final,25,0,7
100,Lineal,Final,26,500,100
100,Binaria,Final,26,100,7
100,Lineal,Final,27,500,100
100,Binaria,Final,27,100,7
100,Lineal,Final,28,400,100
100,Binaria,Final,28,100,7
100,Lineal,Final,29,400,100
100,Binaria,Final,29,100,7
100,Lineal,Final,30,400,100
100,Binaria,Final,30,100,7
100,Lineal,Ausente,1,500,100
100,Binaria,Ausente,1,100,6
100,Lineal,Ausente,2,400,100
100,Binaria,Ausente,2,100,6
100,Lineal,Ausente,3,500,100
100,Binaria,Ausente,3,200,6
100,Lineal,Ausente,4,500,100
100,Binaria,Ausente,4,100,6
100,Lineal,Ausente,5,400,100
100,Binaria,Ausente,5,200,6
100,Lineal,Ausente,6,1000,100
100,Binaria,Ausente,6,200,6
100,Lineal,Ausente,7,1000,100
100,Binaria,Ausente,7,200,6
100,Lineal,Ausente,8,900,100
100,Binaria,Ausente,8,200,6
100,Lineal,Ausente,9,1000,100
100,Binaria,Ausente,9,200,6
100,Lineal,Ausente,10,900,100
100,Binaria,Ausente,10,200,6
100,Lineal,Ausente,11,900,100
100,Binaria,Ausente,11,200,6
100,Lineal,Ausente,12,1000,100
100,Binaria,Ausente,12,200,6
100,Lineal,Ausente,13,900,100
100,Binaria,Ausente,13,200,6
100,Lineal,Ausente,14,1000,100
100,Binaria,Ausente,14,200,6
100,Lineal,Ausente,15,900,100
100,Binaria,Ausente,15,200,6
100,Lineal,Ausente,16,900,100
100,Binaria,Ausente,16,200,6
100,Lineal,Ausente,17,1000,100
100,Binaria,Ausente,17,200,6
100,Lineal,Ausente,18,900,100
100,Binaria,Ausente,18,100,6
100,Lineal,Ausente,19,900,100
100,Binaria,Ausente,19,200,6
100,Lineal,Ausente,20,900,100
100,Binaria,Ausente,20,100,6
100,Lineal,Ausente,21,1000,100
100,Binaria,Ausente,21,100,6
100,Lineal,Ausente,22,1000,100
100,Binaria,Ausente,22,100,6
100,Lineal,Ausente,23,1000,100
100,Binaria,Ausente,23,200,6
100,Lineal,Ausente,24,900,100
100,Binaria,Ausente,24,200,6
100,Lineal,Ausente,25,1000,100
100,Binaria,Ausente,25,200,6
100,Lineal,Ausente,26,1000,100
100,Binaria,Ausente,26,200,6
100,Lineal,Ausente,27,900,100
100,Binaria,Ausente,27,200,6
100,Lineal,Ausente,28,1100,100
100,Binaria,Ausente,28,100,6
100,Lineal,Ausente,29,1000,100
100,Binaria,Ausente,29,200,6
100,Lineal,Ausente,30,1000,100
100,Binaria,Ausente,30,200,6
1000,Lineal,Inicio,1,200,1
1000,Binaria,Inicio,1,400,9
1000,Lineal,Inicio,2,200,1
1000,Binaria,Inicio,2,500,9
1000,Lineal,Inicio,3,100,1
1000,Binaria,Inicio,3,300,9
1000,Lineal,Inicio,4,100,1
1000,Binaria,Inicio,4,200,9
1000,Lineal,Inicio,5,100,1
1000,Binaria,Inicio,5,200,9
1000,Lineal,Inicio,6,100,1
1000,Binaria,Inicio,6,300,9
1000,Lineal,Inicio,7,100,1
1000,Binaria,Inicio,7,200,9
1000,Lineal,Inicio,8,100,1
1000,Binaria,Inicio,8,200,9
1000,Lineal,Inicio,9,100,1
1000,Binaria,Inicio,9,200,9
1000,Lineal,Inicio,10,100,1
1000,Binaria,Inicio,10,200,9
1000,Lineal,Inicio,11,100,1
1000,Binaria,Inicio,11,200,9
1000,Lineal,Inicio,12,0,1
1000,Binaria,Inicio,12,200,9
1000,Lineal,Inicio,13,100,1
1000,Binaria,Inicio,13,200,9
1000,Lineal,Inicio,14,100,1
1000,Binaria,Inicio,14,300,9
1000,Lineal,Inicio,15,100,1
1000,Binaria,Inicio,15,200,9
1000,Lineal,Inicio,16,100,1
1000,Binaria,Inicio,16,300,9
1000,Lineal,Inicio,17,100,1
1000,Binaria,Inicio,17,200,9
1000,Lineal,Inicio,18,100,1
1000,Binaria,Inicio,18,200,9
1000,Lineal,Inicio,19,100,1
1000,Binaria,Inicio,19,200,9
1000,Lineal,Inicio,20,100,1
1000,Binaria,Inicio,20,200,9
1000,Lineal,Inicio,21,0,1
1000,Binaria,Inicio,21,200,9
1000,Lineal,Inicio,22,100,1
1000,Binaria,Inicio,22,200,9
1000,Lineal,Inicio,23,100,1
1000,Binaria,Inicio,23,200,9
1000,Lineal,Inicio,24,100,1
1000,Binaria,Inicio,24,300,9
1000,Lineal,Inicio,25,100,1
1000,Binaria,Inicio,25,200,9
1000,Lineal,Inicio,26,0,1
1000,Binaria,Inicio,26,200,9
1000,Lineal,Inicio,27,100,1
1000,Binaria,Inicio,27,300,9
1000,Lineal,Inicio,28,200,1
1000,Binaria,Inicio,28,200,9
1000,Lineal,Inicio,29,100,1
1000,Binaria,Inicio,29,300,9
1000,Lineal,Inicio,30,100,1
1000,Binaria,Inicio,30,200,9
1000,Lineal,Centro,1,3700,501
1000,Binaria,Centro,1,400,9
1000,Lineal,Centro,2,3900,501
1000,Binaria,Centro,2,300,9
1000,Lineal,Centro,3,3600,501
1000,Binaria,Centro,3,400,9
1000,Lineal,Centro,4,4000,501
1000,Binaria,Centro,4,300,9
1000,Lineal,Centro,5,3700,501
1000,Binaria,Centro,5,300,9
1000,Lineal,Centro,6,3900,501
1000,Binaria,Centro,6,200,9
1000,Lineal,Centro,7,3900,501
1000,Binaria,Centro,7,300,9
1000,Lineal,Centro,8,3900,501
1000,Binaria,Centro,8,200,9
1000,Lineal,Centro,9,3900,501
1000,Binaria,Centro,9,200,9
1000,Lineal,Centro,10,3900,501
1000,Binaria,Centro,10,200,9
1000,Lineal,Centro,11,3800,501
1000,Binaria,Centro,11,200,9
1000,Lineal,Centro,12,3800,501
1000,Binaria,Centro,12,200,9
1000,Lineal,Centro,13,4000,501
1000,Binaria,Centro,13,200,9
1000,Lineal,Centro,14,3900,501
1000,Binaria,Centro,14,200,9
1000,Lineal,Centro,15,3800,501
1000,Binaria,Centro,15,300,9
1000,Lineal,Centro,16,3800,501
1000,Binaria,Centro,16,200,9
1000,Lineal,Centro,17,3800,501
1000,Binaria,Centro,17,200,9
1000,Lineal,Centro,18,3900,501
1000,Binaria,Centro,18,300,9
1000,Lineal,Centro,19,3900,501
1000,Binaria,Centro,19,300,9
1000,Lineal,Centro,20,3900,501
1000,Binaria,Centro,20,200,9
1000,Lineal,Centro,21,3900,501
1000,Binaria,Centro,21,300,9
1000,Lineal,Centro,22,3800,501
1000,Binaria,Centro,22,200,9
1000,Lineal,Centro,23,3800,501
1000,Binaria,Centro,23,200,9
1000,Lineal,Centro,24,3900,501
1000,Binaria,Centro,24,200,9
1000,Lineal,Centro,25,3900,501
1000,Binaria,Centro,25,400,9
1000,Lineal,Centro,26,3800,501
1000,Binaria,Centro,26,200,9
1000,Lineal,Centro,27,3900,501
